element=21
l=0 n=21
  3.8377289999999999e+02  1.5395000000000001e-02
  1.7411980000000000e+02  2.0931000000000002e-02
  8.1551829999999995e+01  5.1695999999999999e-02
  3.8765870000000000e+01  2.1548000000000001e-02
  1.7229620000000001e+01  1.0607000000000000e-02
  8.4303480000000004e+00 -3.5284300000000002e-01
  4.1058190000000003e+00 -1.4098300000000000e-01
  1.8066249999999999e+00 -9.5988000000000004e-02
  8.7042299999999995e-01  2.3785829999999999e+00
  3.9684100000000000e-01 -2.5788460000000000e+00
  9.5711000000000004e-02 -3.7069900000000000e-01
  4.8246999999999998e-02  2.8667080000000000e+00
  2.2661000000000001e-02  0.0000000000000000e+00
l=0 n=21
  4.7894580000000000e+06  0.0000000000000000e+00
  7.1713800000000000e+05  0.0000000000000000e+00
  1.6319939999999999e+05  0.0000000000000000e+00
  4.6226070000000000e+04  0.0000000000000000e+00
  1.5081030000000001e+04  0.0000000000000000e+00
  5.4444930000000004e+03  0.0000000000000000e+00
  2.1234479999999999e+03  0.0000000000000000e+00
  8.8059100000000001e+02  0.0000000000000000e+00
  3.8377289999999999e+02  0.0000000000000000e+00
  1.7411980000000000e+02  0.0000000000000000e+00
  8.1551829999999995e+01  0.0000000000000000e+00
  3.8765870000000000e+01  0.0000000000000000e+00
  1.7229620000000001e+01  0.0000000000000000e+00
  8.4303480000000004e+00  0.0000000000000000e+00
  4.1058190000000003e+00  0.0000000000000000e+00
  1.8066249999999999e+00  0.0000000000000000e+00
  8.7042299999999995e-01  0.0000000000000000e+00
  3.9684100000000000e-01  0.0000000000000000e+00
  9.5711000000000004e-02  0.0000000000000000e+00
  4.8246999999999998e-02  0.0000000000000000e+00
  2.2661000000000001e-02  1.0000000000000000e+00
l=1 n=16
  7.1189870000000001e+03  9.0000000000000006e-05
  1.6859150000000000e+03  7.9500000000000003e-04
  5.4745920000000001e+02  4.5009999999999998e-03
  2.0901870000000000e+02  1.9016000000000002e-02
  8.8226380000000006e+01  6.2969999999999998e-02
  3.9908749999999998e+01  1.6043099999999999e-01
  1.8851720000000000e+01  2.9752600000000001e-01
  9.1417629999999992e+00  3.6822800000000000e-01
  4.5039140000000000e+00  2.3435400000000001e-01
  2.1430920000000002e+00  4.8885999999999999e-02
  1.0076110000000000e+00  7.4600000000000003e-04
  4.6315400000000001e-01  7.6800000000000002e-04
  1.9306000000000001e-01 -2.5399999999999999e-04
  7.7219999999999997e-02  1.1400000000000001e-04
  3.0890000000000001e-02 -5.5999999999999999e-05
  1.2359999999999999e-02  0.0000000000000000e+00
l=1 n=16
  7.1189870000000001e+03 -3.0000000000000001e-05
  1.6859150000000000e+03 -2.6200000000000003e-04
  5.4745920000000001e+02 -1.4829999999999999e-03
  2.0901870000000000e+02 -6.3390000000000000e-03
  8.8226380000000006e+01 -2.1311000000000000e-02
  3.9908749999999998e+01 -5.6328999999999997e-02
  1.8851720000000000e+01 -1.0797400000000000e-01
  9.1417629999999992e+00 -1.4451400000000000e-01
  4.5039140000000000e+00 -5.6084000000000002e-02
  2.1430920000000002e+00  2.3966899999999999e-01
  1.0076110000000000e+00  4.7463200000000000e-01
  4.6315400000000001e-01  3.6473899999999998e-01
  1.9306000000000001e-01  7.7778000000000000e-02
  7.7219999999999997e-02 -1.5240000000000000e-03
  3.0890000000000001e-02  2.2560000000000002e-03
  1.2359999999999999e-02  0.0000000000000000e+00
l=1 n=16
  7.1189870000000001e+03  9.0000000000000002e-06
  1.6859150000000000e+03  7.6000000000000004e-05
  5.4745920000000001e+02  4.4200000000000001e-04
  2.0901870000000000e+02  1.8480000000000000e-03
  8.8226380000000006e+01  6.3639999999999999e-03
  3.9908749999999998e+01  1.6430000000000000e-02
  1.8851720000000000e+01  3.2683999999999998e-02
  9.1417629999999992e+00  4.1777000000000002e-02
  4.5039140000000000e+00  1.9199000000000001e-02
  2.1430920000000002e+00 -8.9177999999999993e-02
  1.0076110000000000e+00 -1.5276899999999999e-01
  4.6315400000000001e-01 -2.1898999999999999e-01
  1.9306000000000001e-01  2.2795699999999999e-01
  7.7219999999999997e-02  7.6935600000000004e-01
  3.0890000000000001e-02  1.6119500000000000e-01
  1.2359999999999999e-02  0.0000000000000000e+00
l=1 n=16
  7.1189870000000001e+03  4.5399999999999998e-04
  1.6859150000000000e+03 -2.3100000000000000e-03
  5.4745920000000001e+02  2.2250000000000000e-03
  2.0901870000000000e+02  3.3960000000000001e-03
  8.8226380000000006e+01  1.2239999999999999e-02
  3.9908749999999998e+01  3.5637000000000002e-02
  1.8851720000000000e+01  5.9504000000000001e-02
  9.1417629999999992e+00  1.0513000000000000e-01
  4.5039140000000000e+00  1.1712000000000000e-02
  2.1430920000000002e+00 -1.4084199999999999e-01
  1.0076110000000000e+00 -6.4118100000000000e-01
  4.6315400000000001e-01  1.2215200000000000e-01
  1.9306000000000001e-01  1.3953750000000000e+00
  7.7219999999999997e-02 -7.0627899999999999e-01
  3.0890000000000001e-02 -4.3003000000000002e-01
  1.2359999999999999e-02  0.0000000000000000e+00
l=1 n=16
  7.1189870000000001e+03 -5.0199999999999995e-04
  1.6859150000000000e+03  2.0750000000000000e-03
  5.4745920000000001e+02 -6.6550000000000003e-03
  2.0901870000000000e+02  1.8780000000000002e-02
  8.8226380000000006e+01 -7.2611999999999996e-02
  3.9908749999999998e+01  1.1811000000000001e-01
  1.8851720000000000e+01  4.3212000000000000e-02
  9.1417629999999992e+00  1.4466599999999999e-01
  4.5039140000000000e+00  8.2228999999999997e-02
  2.1430920000000002e+00 -3.6999500000000002e-01
  1.0076110000000000e+00 -1.2279850000000001e+00
  4.6315400000000001e-01  2.4506950000000001e+00
  1.9306000000000001e-01 -1.2087559999999999e+00
  7.7219999999999997e-02 -6.5865300000000004e-01
  3.0890000000000001e-02  1.1267959999999999e+00
  1.2359999999999999e-02  0.0000000000000000e+00
l=1 n=16
  7.1189870000000001e+03  0.0000000000000000e+00
  1.6859150000000000e+03  0.0000000000000000e+00
  5.4745920000000001e+02  0.0000000000000000e+00
  2.0901870000000000e+02  0.0000000000000000e+00
  8.8226380000000006e+01  0.0000000000000000e+00
  3.9908749999999998e+01  0.0000000000000000e+00
  1.8851720000000000e+01  0.0000000000000000e+00
  9.1417629999999992e+00  0.0000000000000000e+00
  4.5039140000000000e+00  0.0000000000000000e+00
  2.1430920000000002e+00  0.0000000000000000e+00
  1.0076110000000000e+00  0.0000000000000000e+00
  4.6315400000000001e-01  0.0000000000000000e+00
  1.9306000000000001e-01  0.0000000000000000e+00
  7.7219999999999997e-02  0.0000000000000000e+00
  3.0890000000000001e-02  0.0000000000000000e+00
  1.2359999999999999e-02  1.0000000000000000e+00
l=2 n=9
  7.3518680000000003e+01  1.9940000000000001e-03
  2.1760999999999999e+01  1.4491000000000000e-02
  7.9217550000000001e+00  5.6044999999999998e-02
  3.1842000000000001e+00  1.5048400000000001e-01
  1.3426210000000001e+00  2.6744200000000001e-01
  5.6152400000000002e-01  3.3298100000000003e-01
  2.2770499999999999e-01  3.3187499999999998e-01
  8.5240999999999997e-02  2.1653300000000000e-01
  3.4099999999999998e-02  5.0220000000000001e-02
l=2 n=9
  7.3518680000000003e+01 -2.0560000000000001e-03
  2.1760999999999999e+01 -1.5129999999999999e-02
  7.9217550000000001e+00 -5.8589000000000002e-02
  3.1842000000000001e+00 -1.6007600000000000e-01
  1.3426210000000001e+00 -2.6544600000000002e-01
  5.6152400000000002e-01 -2.8177900000000000e-01
  2.2770499999999999e-01  1.4316400000000001e-01
  8.5240999999999997e-02  5.9849900000000000e-01
  3.4099999999999998e-02  2.6481900000000003e-01
l=2 n=9
  7.3518680000000003e+01 -2.2580000000000000e-03
